Server;Sets ;Games ;Points ;Description
Rafael Nadal  ;2?2;2?3;40?15;"1st serve wide; forehand return down the line, forced error."
;;;;
Roger Federer  ;2?2;3?3;0?0;"1st serve wide, fault (long). 2nd serve wide; backhand return down the middle (shallow); forehand approach shot inside-out; forehand down the line, forced error."
Roger Federer  ;2?2;3?3;15?0;"1st serve wide; forehand return down the middle, forced error."
Roger Federer  ;2?2;3?3;30?0;"1st serve wide; backhand return down the middle (deep); forehand approach shot inside-out, winner."
Roger Federer  ;2?2;3?3;40?0;1st serve down the T, ace.
;;;;
Rafael Nadal  ;2?2;3?4;0?0;"1st serve wide; forehand return down the middle (shallow); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt (wide), unforced error. (6-shot rally)"
Rafael Nadal  ;2?2;3?4;0?15;"1st serve down the T; forehand return down the middle, forced error."
Rafael Nadal  ;2?2;3?4;15?15;"1st serve down the T; backhand slice return down the middle (deep); forehand crosscourt; backhand down the line, forced error."
Rafael Nadal  ;2?2;3?4;30?15;"1st serve wide; backhand slice return down the line (deep); forehand inside-in; backhand down the middle; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt, forced error. (8-shot rally)"
Rafael Nadal  ;2?2;3?4;30?30;"1st serve wide, fault (wide and long). 2nd serve down the T; forehand return crosscourt (shallow); backhand down the line; backhand down the line; backhand crosscourt; forehand down the line, winner. (6-shot rally)"
Rafael Nadal  ;2?2;3?4;30?40;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand chip/slice down the line; smash at net crosscourt, winner. (5-shot rally)"
Rafael Nadal  ;2?2;3?4;40?40;"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (shallow); forehand inside-out; forehand crosscourt (wide), unforced error."
Rafael Nadal  ;2?2;3?4;AD?40;"1st serve wide; backhand slice return down the middle (shallow); forehand approach shot crosscourt, winner."
;;;;
Roger Federer  ;2?2;4?4;0?0;"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (net), unforced error."
Roger Federer  ;2?2;4?4;15?0;"1st serve down the T, fault (net). 2nd serve wide; forehand return crosscourt (shallow); backhand slice down the line; forehand down the middle; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line, forced error. (14-shot rally)"
Roger Federer  ;2?2;4?4;15?15;"1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out, winner."
Roger Federer  ;2?2;4?4;30?15;1st serve wide, ace.
Roger Federer  ;2?2;4?4;40?15;"1st serve down the T, fault (net). 2nd serve wide; backhand return crosscourt (shallow); forehand approach shot down the line (long), unforced error."
Roger Federer  ;2?2;4?4;40?30;"1st serve wide, fault (long). 2nd serve down the T; backhand return inside-out (deep); backhand crosscourt; forehand crosscourt, forced error."
;;;;
Rafael Nadal  ;2?2;4?5;0?0;1st serve down the T, fault (net). 2nd serve wide, ace.
Rafael Nadal  ;2?2;4?5;15?0;"1st serve wide; backhand slice return crosscourt (deep); forehand down the line; forehand crosscourt; backhand down the line; backhand crosscourt; forehand down the middle; backhand crosscourt; forehand down the middle, forced error. (8-shot rally)"
Rafael Nadal  ;2?2;4?5;15?15;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;2?2;4?5;30?15;"1st serve down the T; forehand return down the middle (deep); backhand slice down the middle; forehand inside-out; forehand, forced error. (4-shot rally)"
Rafael Nadal  ;2?2;4?5;30?30;"1st serve down the T; backhand slice return down the middle (deep); forehand approach shot crosscourt; backhand lob crosscourt, forced error."
Rafael Nadal  ;2?2;4?5;40?30;"1st serve wide; backhand slice return down the middle (deep); forehand at net inside-out, winner."
;;;;
Roger Federer  ;2?2;5?5;0?0;"1st serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt (net), unforced error. (4-shot rally)"
Roger Federer  ;2?2;5?5;0?15;"1st serve wide; forehand return crosscourt (shallow); forehand approach shot inside-in; backhand lob down the line, forced error."
Roger Federer  ;2?2;5?5;15?15;"1st serve down the T; forehand return down the middle (deep); forehand approach shot inside-out; forehand crosscourt; backhand volley (stop volley) down the middle, forced error. (4-shot rally)"
Roger Federer  ;2?2;5?5;15?30;"1st serve down the T; backhand return inside-out (very deep); forehand inside-out; forehand down the line, winner. (4-shot rally)"
Roger Federer  ;2?2;5?5;15?40;1st serve down the T, ace.
Roger Federer  ;2?2;5?5;30?40;"1st serve wide; forehand return crosscourt (shallow); backhand crosscourt; forehand down the middle; forehand approach shot inside-out; forehand lob crosscourt, forced error. (5-shot rally)"
Roger Federer  ;2?2;5?5;40?40;"1st serve wide; backhand return down the middle (shallow); forehand approach shot crosscourt, winner."
Roger Federer  ;2?2;5?5;AD?40;"1st serve down the T; backhand return down the middle (deep); forehand inside-out; forehand down the middle; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt, forced error. (7-shot rally)"
;;;;
Rafael Nadal  ;2?2;5?6;0?0;"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (deep); forehand inside-out; forehand crosscourt; backhand crosscourt; forehand chip/slice down the middle, forced error. (5-shot rally)"
Rafael Nadal  ;2?2;5?6;15?0;"1st serve wide, fault (long). 2nd serve to body; forehand return down the middle (deep); backhand down the middle; forehand down the middle, forced error."
Rafael Nadal  ;2?2;5?6;30?0;"1st serve down the T, fault (wide). 2nd serve wide; forehand return down the middle (shallow); forehand down the middle; forehand down the middle; forehand crosscourt; backhand down the line; backhand down the line; backhand crosscourt; forehand down the line (wide), unforced error. (8-shot rally)"
Rafael Nadal  ;2?2;5?6;30?15;"1st serve to body; forehand return down the middle (shallow); backhand crosscourt; forehand down the line; forehand crosscourt; backhand slice crosscourt, forced error. (5-shot rally)"
Rafael Nadal  ;2?2;5?6;40?15;"1st serve wide, fault (long). 2nd serve wide; forehand chip/slice return crosscourt, forced error."
;;;;
Roger Federer  ;2?2;6?6;0?0;"1st serve wide; backhand return crosscourt (shallow); forehand down the line (wide), unforced error."
Roger Federer  ;2?2;6?6;0?15;"1st serve wide; forehand return down the line (deep); forehand crosscourt; backhand down the line; forehand inside-out; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand lob down the middle, forced error. (8-shot rally)"
Roger Federer  ;2?2;6?6;0?30;1st serve down the T, ace.
Roger Federer  ;2?2;6?6;15?30;"1st serve down the T; backhand return down the middle (shallow); forehand approach shot crosscourt; backhand down the line, forced error."
Roger Federer  ;2?2;6?6;30?30;"1st serve down the T; forehand return down the middle, forced error."
Roger Federer  ;2?2;6?6;40?30;"1st serve down the T, fault (long). 2nd serve wide; forehand return crosscourt (shallow); backhand slice down the line; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand slice down the line; backhand approach shot crosscourt; forehand down the line; forehand volley crosscourt (net), unforced error. (10-shot rally)"
Roger Federer  ;2?2;6?6;40?40;"1st serve down the T, fault (wide). 2nd serve wide; backhand return crosscourt (very deep) (long), unforced error."
Roger Federer  ;2?2;6?6;AD?40;"1st serve wide, fault (net). 2nd serve to body; forehand return crosscourt (shallow); forehand inside-out (wide), unforced error."
Roger Federer  ;2?2;6?6;40?40;"1st serve wide; backhand return down the middle (deep); forehand approach shot crosscourt; backhand lob down the line, forced error."
Roger Federer  ;2?2;6?6;AD?40;"1st serve down the T, fault (long). 2nd serve down the T; backhand return down the middle (deep); forehand inside-out; forehand down the line; forehand crosscourt; backhand slice down the line; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand crosscourt (net), unforced error. (9-shot rally)"
;;;;
Rafael Nadal  ;2?2;6?7;0?0;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; forehand inside-in, winner. (4-shot rally)"
Rafael Nadal  ;2?2;6?7;0?15;"1st serve wide; backhand slice return crosscourt (deep); forehand down the line; forehand down the middle, forced error."
Rafael Nadal  ;2?2;6?7;15?15;"1st serve to body; forehand return crosscourt, forced error."
Rafael Nadal  ;2?2;6?7;30?15;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (deep); backhand down the middle; backhand inside-out; backhand slice down the line; forehand inside-in; backhand crosscourt; forehand crosscourt; backhand down the middle; backhand crosscourt; forehand crosscourt; forehand down the middle (net), unforced error. (11-shot rally)"
Rafael Nadal  ;2?2;6?7;40?15;"1st serve wide, fault (wide). 2nd serve down the T; forehand return crosscourt (shallow) (net cord); backhand slice at net down the line; backhand volley at baseline crosscourt, winner. (4-shot rally)"
Rafael Nadal  ;2?2;6?7;40?30;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand down the line; forehand chip/slice down the middle; forehand approach shot crosscourt; backhand lob down the middle; smash crosscourt; backhand lob down the line; smash at baseline down the middle; backhand slice down the middle; forehand inside-out, winner. (13-shot rally)"
;;;;
Roger Federer  ;2?2;7?7;0?0;"1st serve wide; backhand slice return down the line (deep); forehand inside-out; forehand crosscourt; backhand slice crosscourt; forehand approach shot crosscourt, winner. (6-shot rally)"
Roger Federer  ;2?2;7?7;0?15;"1st serve down the T, fault (net). 2nd serve down the T; backhand return inside-out (deep); forehand inside-in (net), unforced error."
Roger Federer  ;2?2;7?7;0?30;"1st serve wide, fault (wide). 2nd serve to body; forehand return down the middle (shallow); forehand crosscourt; backhand down the middle; forehand crosscourt; backhand down the line; backhand down the line; backhand slice down the middle; forehand approach shot crosscourt; backhand crosscourt; forehand volley down the line, winner. (11-shot rally)"
Roger Federer  ;2?2;7?7;15?30;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt, winner. (6-shot rally)"
Roger Federer  ;2?2;7?7;15?40;1st serve wide, ace.
Roger Federer  ;2?2;7?7;30?40;"1st serve wide; forehand return down the middle (shallow); forehand approach shot crosscourt; backhand lob down the middle, forced error."
Roger Federer  ;2?2;7?7;40?40;"1st serve down the T; forehand return down the middle (very deep); forehand crosscourt; backhand crosscourt; forehand crosscourt, forced error. (4-shot rally)"
Roger Federer  ;2?2;7?7;40?AD;1st serve wide, ace.
Roger Federer  ;2?2;7?7;40?40;"1st serve wide; backhand return down the middle (very deep); forehand inside-out; forehand crosscourt; forehand inside-in (net), unforced error. (4-shot rally)"
Roger Federer  ;2?2;7?7;40?AD;"1st serve wide; forehand return crosscourt (deep); forehand inside-out; forehand down the middle; forehand approach shot down the middle (long), unforced error. (4-shot rally)"
;;;;
Rafael Nadal  ;2?2;8?7;0?0;"1st serve down the T; backhand return down the middle (very deep); forehand inside-out; forehand down the middle; forehand crosscourt (long), unforced error. (4-shot rally)"
Rafael Nadal  ;2?2;8?7;0?15;"1st serve wide; backhand slice return down the middle (deep); smash inside-out, winner."
Rafael Nadal  ;2?2;8?7;15?15;"1st serve wide; forehand return down the middle (shallow); forehand approach shot crosscourt; backhand slice crosscourt; forehand volley down the line, winner. (5-shot rally)"
Rafael Nadal  ;2?2;8?7;30?15;"1st serve wide; backhand slice return down the middle (shallow); forehand approach shot inside-out; forehand down the line; forehand volley crosscourt; backhand down the middle; backhand volley down the middle, forced error. (6-shot rally)"
Rafael Nadal  ;2?2;8?7;30?30;"1st serve wide; forehand return crosscourt (very deep); backhand down the middle; backhand down the middle; forehand crosscourt; backhand crosscourt (wide), unforced error. (5-shot rally)"
Rafael Nadal  ;2?2;8?7;40?30;"1st serve wide; backhand return crosscourt (deep); forehand, forced error."
Rafael Nadal  ;2?2;8?7;40?40;1st serve wide, service winner.
Rafael Nadal  ;2?2;8?7;AD?40;"1st serve down the T; forehand return down the middle (deep); backhand down the middle; forehand crosscourt (net), unforced error."
