Server;Sets ;Games ;Points ;Description
Roger Federer  ;0?0;3?5;30?0;1st serve down the T, ace.
Roger Federer  ;0?0;3?5;40?0;"1st serve wide; forehand return crosscourt, forced error."
;;;;
Rafael Nadal  ;0?0;5?4;0?0;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;0?0;5?4;15?0;"1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt (net), unforced error. (4-shot rally)"
Rafael Nadal  ;0?0;5?4;15?15;"1st serve to body; forehand return crosscourt (very deep); forehand down the middle; forehand approach shot crosscourt; backhand down the line; backhand volley crosscourt, winner. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;15?30;"1st serve wide; backhand return down the middle (deep); forehand crosscourt; backhand down the middle (long), unforced error."
Rafael Nadal  ;0?0;5?4;30?30;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand inside-out, winner. (7-shot rally)"
Rafael Nadal  ;0?0;5?4;40?30;"1st serve wide; backhand return crosscourt (shallow); forehand down the line; forehand crosscourt; backhand slice down the line; forehand inside-out; forehand crosscourt (net cord); backhand approach shot down the line, winner. (8-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand slice return crosscourt (very deep); forehand crosscourt; backhand slice approach shot down the middle; backhand crosscourt; forehand volley down the line, winner. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;40?AD;"1st serve to body; forehand return down the middle (deep); forehand inside-out; forehand crosscourt; backhand down the line; backhand slice down the middle; forehand inside-out; forehand approach shot crosscourt; backhand down the line; backhand volley down the middle; forehand crosscourt; backhand volley crosscourt, forced error. (11-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;1st serve wide, ace.
Rafael Nadal  ;0?0;5?4;AD?40;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); forehand crosscourt; forehand inside-out; forehand chip/slice crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand return down the middle (very deep); forehand crosscourt; forehand inside-in; forehand inside-in; forehand inside-out; forehand crosscourt, forced error. (6-shot rally)"
Rafael Nadal  ;0?0;5?4;40?AD;"1st serve down the T, fault (net). 2nd serve wide; backhand slice return down the middle (net), unforced error."
Rafael Nadal  ;0?0;5?4;40?40;"1st serve down the T; backhand return down the middle (deep); forehand crosscourt; backhand down the line (long), unforced error."
Rafael Nadal  ;0?0;5?4;AD?40;"1st serve wide; backhand return crosscourt (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand crosscourt (net), unforced error. (7-shot rally)"
;;;;
Roger Federer  ;0?1;0?0;0?0;"1st serve down the T; forehand return crosscourt (very deep); forehand inside-in; backhand crosscourt (wide), unforced error."
Roger Federer  ;0?1;0?0;15?0;"1st serve down the T; backhand return inside-out (shallow); forehand inside-out, winner."
